11:02:07.304 [ApplicationImpl pooled thread 20] INFO  com.browserstack.utils.Helpers - null
15:14:42.645 [ApplicationImpl pooled thread 108] INFO  c.b.l.BrowserStackRunExtension - application
15:14:42.645 [ApplicationImpl pooled thread 108] INFO  com.browserstack.utils.Helpers - null
11:46:31.755 [ApplicationImpl pooled thread 16] INFO  c.b.l.BrowserStackRunExtension - application
11:46:31.755 [ApplicationImpl pooled thread 16] INFO  com.browserstack.utils.Helpers - null
12:03:26.103 [ApplicationImpl pooled thread 17] INFO  c.b.l.BrowserStackRunExtension - application
12:03:26.103 [ApplicationImpl pooled thread 17] INFO  com.browserstack.utils.Helpers - null
12:17:09.113 [ApplicationImpl pooled thread 9] INFO  c.b.l.BrowserStackRunExtension - application
12:17:09.113 [ApplicationImpl pooled thread 9] INFO  com.browserstack.utils.Helpers - null
12:26:14.220 [ApplicationImpl pooled thread 16] INFO  c.b.l.BrowserStackRunExtension - application
12:26:14.220 [ApplicationImpl pooled thread 16] INFO  com.browserstack.utils.Helpers - null
14:56:32.711 [ApplicationImpl pooled thread 45] INFO  c.b.l.BrowserStackRunExtension - application
14:56:32.711 [ApplicationImpl pooled thread 45] INFO  com.browserstack.utils.Helpers - null
14:57:27.187 [ApplicationImpl pooled thread 51] INFO  c.b.l.BrowserStackRunExtension - application
14:57:27.187 [ApplicationImpl pooled thread 51] INFO  com.browserstack.utils.Helpers - null
15:35:47.882 [ApplicationImpl pooled thread 49] INFO  c.b.l.BrowserStackRunExtension - application
15:35:47.922 [ApplicationImpl pooled thread 49] INFO  com.browserstack.utils.Helpers - null
15:38:06.362 [ApplicationImpl pooled thread 55] INFO  c.b.l.BrowserStackRunExtension - application
15:38:06.362 [ApplicationImpl pooled thread 55] INFO  com.browserstack.utils.Helpers - null
15:52:57.069 [ApplicationImpl pooled thread 59] INFO  c.b.l.BrowserStackRunExtension - application
15:52:57.069 [ApplicationImpl pooled thread 59] INFO  com.browserstack.utils.Helpers - null
16:24:24.591 [ApplicationImpl pooled thread 60] INFO  c.b.l.BrowserStackRunExtension - application
16:24:24.591 [ApplicationImpl pooled thread 60] INFO  com.browserstack.utils.Helpers - null
16:26:48.264 [ApplicationImpl pooled thread 73] INFO  c.b.l.BrowserStackRunExtension - application
16:26:48.264 [ApplicationImpl pooled thread 73] INFO  com.browserstack.utils.Helpers - null
16:48:46.472 [ApplicationImpl pooled thread 469] INFO  c.b.l.BrowserStackRunExtension - application
16:48:46.472 [ApplicationImpl pooled thread 469] INFO  com.browserstack.utils.Helpers - null
12:53:19.757 [AWT-EventQueue-0] INFO  c.b.actions.EnableBrowserStack - Setting enable browserstack run update
12:53:19.773 [AWT-EventQueue-0] INFO  c.b.actions.DisableBrowserStack - Setting disable browserstack run update
13:55:32.113 [ApplicationImpl pooled thread 21] INFO  c.b.l.BrowserStackRunExtension - application
13:55:32.145 [ApplicationImpl pooled thread 21] INFO  com.browserstack.utils.Helpers - null
14:23:26.046 [ApplicationImpl pooled thread 26] INFO  c.b.l.BrowserStackRunExtension - application
14:23:26.046 [ApplicationImpl pooled thread 26] INFO  com.browserstack.utils.Helpers - null
14:23:55.061 [ApplicationImpl pooled thread 29] INFO  c.b.l.BrowserStackRunExtension - application
14:23:55.061 [ApplicationImpl pooled thread 29] INFO  com.browserstack.utils.Helpers - null
15:41:23.586 [ApplicationImpl pooled thread 42] INFO  c.b.l.BrowserStackRunExtension - application
15:41:23.586 [ApplicationImpl pooled thread 42] INFO  com.browserstack.utils.Helpers - null
15:42:16.315 [ApplicationImpl pooled thread 36] INFO  c.b.l.BrowserStackRunExtension - application
15:42:16.315 [ApplicationImpl pooled thread 36] INFO  com.browserstack.utils.Helpers - null
